Date/Time of Report: 3/16/2025 16:22:34,,,,,,,,,
Requester: CSTN01-1 - Oper,,,,,,,,,
Filter Applied: Event Time: Live,,,,,,,,,
Sort Criteria: ,,,,,,,,,
Server: ESV-01B,,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units,
3/16/2025 16:17:50.900,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.900,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.900,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.800,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.800,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.700,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.700,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.500,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.500,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.500,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.400,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.400,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.400,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.300,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.300,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.300,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.200,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.100,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.000,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.000,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.000,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.900,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.900,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.900,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,KG/CM2G,
3/16/2025 16:17:50.800,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,KG/CM2G,
3/16/2025 16:17:50.800,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,%,
3/16/2025 16:17:50.700,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,KG/CM2G,
3/16/2025 16:17:50.600,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,SEC,
3/16/2025 16:17:50.500,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,M3/H,
3/16/2025 16:17:50.500,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,MIN,
3/16/2025 16:17:50.500,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,M3/H,
3/16/2025 16:17:50.400,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,MIN,
3/16/2025 16:17:50.400,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,M3/H,
3/16/2025 16:17:50.400,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,MIN,
3/16/2025 16:17:50.300,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,M3/H,
3/16/2025 16:17:50.300,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,MIN,
3/16/2025 16:17:50.200,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,M3/H,
3/16/2025 16:17:50.100,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,MIN,
3/16/2025 16:17:50.100,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,%,
3/16/2025 16:17:50.000,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.000,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,MIN,
3/16/2025 16:17:50.000,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,MIN,
3/16/2025 16:17:50.900,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,KG/CM2G,
3/16/2025 16:17:50.900,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,DegC,
3/16/2025 16:17:50.800,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,TON,
3/16/2025 16:17:50.800,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,TON,
3/16/2025 16:17:50.600,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,TON,
3/16/2025 16:17:50.600,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,TON,
3/16/2025 16:17:50.600,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,TON,
3/16/2025 16:17:50.500,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,TON,
3/16/2025 16:17:50.500,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.500,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.400,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.400,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.300,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.200,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,PPM,
3/16/2025 16:17:50.100,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,PPM,
3/16/2025 16:17:50.100,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,PPM,
3/16/2025 16:17:50.100,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,TON,
3/16/2025 16:17:50.000,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,PPM,
3/16/2025 16:17:50.000,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,PPM,
3/16/2025 16:17:50.000,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,PPM,
3/16/2025 16:17:50.900,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,PPM,
3/16/2025 16:17:50.800,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,PPM,
3/16/2025 16:17:50.800,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,PPM,
3/16/2025 16:17:50.600,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,PPM,
3/16/2025 16:17:50.600,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,PPM,
3/16/2025 16:17:50.600,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,TON,
3/16/2025 16:17:50.500,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,TON,
3/16/2025 16:17:50.500,01,$ACTIVITY_330413F2352AB609,Formula,,J 00,DATA;$330013f229de7ede-0006,1.#QNAN,,
3/16/2025 16:17:50.300,01,$ACTIVITY_330413F2352AB609,Start,,J 00,RCM;$330013f229de7ede-0006;$ACTIVITY_330013f229e37efd,CHILD,,
3/16/2025 16:17:49.400,01,$ACTIVITY_330413F2352AB609,Command,,J 00,RCM;$330013f229de7ede-0006,Start,,
3/16/2025 16:17:48.800,01,UP_RECOVERY,Start of Control,,J 00,OP_NASH2;$330413f255e78ca2-0015,Idle;1;1;1,,
3/16/2025 16:17:48.100,01,UP_RECOVERY,Acquire,,J 00,OP_NASH2;$330413f255e78ca2-0015,SYSTEM:MASTERRECIPE;1,,
3/16/2025 16:17:47.000,01,UP_RECOVERY,Release,,J 00,OP_NASH1;$330413f255e78ca2-0015,SYSTEM:MASTERRECIPE;1,,
3/16/2025 16:17:47.100,01,UP_RECOVERY,End of Control,,J 00,OP_NASH1;$330413f255e78ca2-0015,Idle;1;1;1,,
3/16/2025 16:17:47.700,01,OP_NASH1,RecipeRemoval,,J 00,OP_NASH1;$330013f229de7ede-0005,,,
3/16/2025 16:17:47.600,01,OP_NASH1,State Change,,J 00,RCM;$330013f229de7ede-0005,Idle,,
3/16/2025 16:17:46.200,01,OP_NASH1,Command,,J 00,RCM;$330013f229de7ede-0005,Reset,,
3/16/2025 16:17:46.100,01,OP_NASH1,End,,J 00,RCM;$330013f229de7ede-0005,,,
3/16/2025 16:17:46.000,01,OP_NASH1,State Change,,J 00,RCM;$330013f229de7ede-0005,Complete,,
3/16/2025 16:17:46.900,01,OP_NASH1,Phase State Change,,J 00,NASH1;$330013f229de7ede-0005,ActiveComplt,,
3/16/2025 16:17:46.700,01,OP_NASH1,Phase End,,J 00,NASH1;$330013f229de7ede-0005,1,,
3/16/2025 16:17:46.600,01,OP_NASH1,Release,,J 00,NASH1;$330013f229de7ede-0005,SYSTEM:SCM;1,,
3/16/2025 16:17:46.400,01,OP_NASH1,End of Control,,J 00,NASH1;$330013f229de7ede-0005,Idle;1;1;1,,
3/16/2025 16:17:46.400,1400,NASH1,State Change,,J 00,SCM,Idle,,
3/16/2025 16:17:45.600,01,OP_NASH1,Phase State Change,,J 00,NASH1;$330013f229de7ede-0005,ProcReset,,
3/16/2025 16:17:45.300,1400,NASH1,End,,J 00,SCM,,,
3/16/2025 16:17:45.300,1400,NASH1,State Change,,J 00,SCM,Complete,,
3/16/2025 16:17:45.400,01,EIP0402R,OFFNRM,,J 00,BPO036 REPORT REQUEST,ON,,
3/16/2025 16:17:09.812,1500,FQC1504,CHANGE,,,pida.modeattr,NORMAL,,
3/16/2025 16:17:08.500,1900,FI1901B,BAD PV,OK,J 00,STEAM HEADER FROM BOILER,6501.37198936462,kg/h,
3/16/2025 16:17:07.690,1500,FQC1504,CHANGE,,,pida.modeattr,PROGRAM,,
3/16/2025 16:17:06.680,1500,FQC1504,CHANGE,,,pida.mode,AUTO,,
3/16/2025 16:17:04.418,1500,FQC1504,CHANGE,,,pida.modeattr,OPERATOR,,
3/16/2025 16:16:59.809,1500,FQC1504,CHANGE,,,pida.modeattr,NORMAL,,
3/16/2025 16:16:50.713,1500,LA1513H,OFFNRM,ACK,,HP1603 LEVEL,,,
3/16/2025 16:16:40.700,1500,LA1513H,OFFNRM,,L 00,HP1603 LEVEL,HI,,
3/16/2025 16:16:38.200,1900,FT1901B,BAD PV,OK,J 00,STEAM HEADER FROM BOILER,6548.15292953491,kg/h,
3/16/2025 16:16:25.300,1300,ALMMNG1,OFFNRM,OK,L 00,TIC1301A DEV LO Alarm,OFF,,
3/16/2025 16:16:24.100,1300,TIC1301A,DEVLOW,OK,J 00,RE1301A,-0.495391181457713,DegC,
3/16/2025 16:14:37.335,1500,TIC1514,CHANGE,,,PIDA.SP,65,DegC,
3/16/2025 16:14:07.933,SERVER_PVC,CONSOLE STATION 1-1,LEVEL,,,Security level,Oper,,
3/16/2025 16:14:07.933,SERVER_PVC,CONSOLE STATION 1-1,LEVEL,,,Security level (IKB Key Switch),View Only,,
3/16/2025 16:13:39.200,1200,TIC1203,PVLOW,OK,L 00,HE1203 D/S TEMP,80.5136413574219,C,
3/16/2025 16:13:12.000,1900,FI1901B,BAD PV,,J 00,STEAM HEADER FROM BOILER,1.#QNAN,kg/h,
3/16/2025 16:13:11.500,1200,TIC1203,PVLOLO,OK,H 00,HE1203 D/S TEMP,79.5071105957031,C,
3/16/2025 16:12:05.700,1300,QR1301A,BAD PV,OK,J 00,RE1301A QJ+QC,11791.0798459831,Mcal,
3/16/2025 16:11:49.900,1300,QR1301A,BAD PV,,J 00,RE1301A QJ+QC,1.#QNAN,Mcal,
3/16/2025 16:11:40.700,1300,QR1301A,BAD PV,OK,J 00,RE1301A QJ+QC,11781.2467158448,Mcal,
3/16/2025 16:11:33.700,1300,QR1301A,BAD PV,,J 00,RE1301A QJ+QC,1.#QNAN,Mcal,
3/16/2025 16:10:28.847,1200,TIC1203,PVLOW,ACK,,HE1203 D/S TEMP,,,
3/16/2025 16:10:25.917,1300,ALMMNG1,OFFNRM,ACK,,TIC1301A DEV LO Alarm,,,
3/16/2025 16:10:20.104,1200,TIC1203,PVLOLO,ACK,,HE1203 D/S TEMP,,,
3/16/2025 16:09:45.600,1900,FT1901B,BAD PV,,J 00,STEAM HEADER FROM BOILER,1.#QNAN,kg/h,
3/16/2025 16:09:05.100,1300,ALMMNG1,OFFNRM,,L 00,TIC1301A DEV LO Alarm,ON,,
3/16/2025 16:09:05.600,01,EIP0220R,OFFNRM,,J 00,BPO021 A REPORT REQUEST,ON,,
3/16/2025 16:09:01.700,01,EVENT_SCM1A,ChOfSt,,J 00,INERT_A_T1,ON,,
3/16/2025 16:09:00.700,01,EIP0219R,OFFNRM,,J 00,BPO020 A REPORT REQUEST,ON,,
3/16/2025 16:09:00.500,01,EVENT_SCM1A,ChOfSt,,J 00,POLY_A_T1,ON,,
3/16/2025 16:08:48.900,1300,TIC1301A,DEVLOW,,J 00,RE1301A,-1.15099516397699,DegC,
3/16/2025 16:08:34.400,1300,TIC1301A_DEV,OFFNRM,OK,J 00,TIC1301A DEVIATION HIGH,OFF,,
3/16/2025 16:08:33.300,1300,TIC1301A,DEVHI,OK,L 00,RE1301A,-1.58428981961833E-04,DegC,
3/16/2025 16:08:24.100,01,EIP0218R,OFFNRM,,J 00,BPO019 A REPORT REQUEST,ON,,
3/16/2025 16:07:34.899,1200,TIC1203,CHANGE,,,pida.mode,AUTO,,
3/16/2025 16:07:31.700,1200,TIC1203,PVLOLO,,H 00,HE1203 D/S TEMP,37.9837951660156,C,
3/16/2025 16:07:28.400,1200,TIC1203,PVLOW,,L 00,HE1203 D/S TEMP,38.0666198730469,C,
3/16/2025 16:06:15.549,1500,FQC1504,CHANGE,,,pida.opLolm,0,%,
3/16/2025 16:05:43.000,1700,TI1701,PVHIGH,OK,L 00,RF1701 DELIVERY,7.99679565429688,DegC,
3/16/2025 16:04:53.000,1200,TI1202,PVHIGH,OK,L 00,VE1202 TEMPERATURE,81.4995422363281,C,
3/16/2025 16:04:51.300,1300,CH20FD_A,State Change,,J 00,SCM,Idle,,
3/16/2025 16:04:51.200,01,EIP0222R,OFFNRM,,J 00,BPO023 A REPORT REQUEST,ON,,
3/16/2025 16:04:50.200,1300,CH20FD_A,End,,J 00,SCM,,,
3/16/2025 16:04:50.100,1300,CH20FD_A,State Change,,J 00,SCM,Complete,,
3/16/2025 16:04:45.300,1300,WPLAN_A,State Change,,J 00,SCM,Running,,
3/16/2025 16:04:45.200,1300,WPLAN_A,Start,,J 00,SCM,,,
3/16/2025 16:04:45.900,1300,CH20FD_A,State Change,,J 00,SCM,Running,,
3/16/2025 16:04:45.400,1300,CH20FD_A,Start,,J 00,SCM,,,
3/16/2025 16:04:44.200,1300,INERT_A,State Change,,J 00,SCM,Running,,
3/16/2025 16:04:44.800,1300,INERT_A,Start,,J 00,SCM,CHILD,,
3/16/2025 16:04:43.100,1300,POLY_A,State Change,,J 00,SCM,Running,,
3/16/2025 16:04:43.300,1300,POLY_A,Start,,J 00,SCM,CHILD,,
3/16/2025 16:04:43.300,01,OP_SUPER_A,Start of Control,,J 00,POLY_A;$330013f229de7ee6-0005;POLY_A,Idle;1;1;1,,
3/16/2025 16:04:43.600,01,OP_SUPER_A,Acquire,,J 00,POLY_A;$330013f229de7ee6-0005,SYSTEM:SCM;1,,
3/16/2025 16:04:43.000,01,OP_SUPER_A,Start of Control,,J 00,INERT_A;$330013f229de7ee6-0005;INERT_A,Idle;1;1;1,,
3/16/2025 16:04:43.900,01,OP_SUPER_A,Acquire,,J 00,INERT_A;$330013f229de7ee6-0005,SYSTEM:SCM;1,,
3/16/2025 16:04:42.400,01,OP_SUPER_A,Release,,J 00,PWFEED_A;$330013f229de7ee6-0005,SYSTEM:SCM;1,,
3/16/2025 16:04:42.100,01,OP_SUPER_A,End of Control,,J 00,PWFEED_A;$330013f229de7ee6-0005,Idle;1;1;1,,
3/16/2025 16:04:42.400,1100,PWFEED_A,State Change,,J 00,SCM,Idle,,
3/16/2025 16:04:41.400,1100,PWFEED_A,End,,J 00,SCM,,,
3/16/2025 16:04:41.400,1100,PWFEED_A,State Change,,J 00,SCM,Complete,,
3/16/2025 16:04:31.200,01,OP_SUPER_A,Release,,J 00,VCMFEED_A;$330013f229de7ee6-0005,SYSTEM:SCM;1,,
3/16/2025 16:04:31.800,01,OP_SUPER_A,End of Control,,J 00,VCMFEED_A;$330013f229de7ee6-0005,Idle;1;1;1,,
3/16/2025 16:04:31.000,1100,VCMFEED_A,State Change,,J 00,SCM,Idle,,
3/16/2025 16:04:30.700,1100,VCMFEED_A,End,,J 00,SCM,,,
3/16/2025 16:04:30.600,1100,VCMFEED_A,State Change,,J 00,SCM,Complete,,
3/16/2025 16:04:19.300,1200,PI1280,PVLOW,,J 00,PU1203B DISCHARGE PRESS,6.26198657989502,kg/cm2G,
3/16/2025 16:03:29.500,01,OP_SUPER_A,Release,,J 00,HEATUP_A;$330013f229de7ee6-0005,SYSTEM:SCM;1,,
3/16/2025 16:03:29.300,01,OP_SUPER_A,End of Control,,J 00,HEATUP_A;$330013f229de7ee6-0005,Idle;1;1;1,,
